timestamp,start_time,symbol,interval,first_trade_id,last_trade_id,open,close,high,low,volume,number_of_trades,is_closed,quote_asset_volume,taker_buy_asset_volume,taker_buy_quote_asset_volume
2023-04-20 19:59:59.999,1682020740000,BTCUSDT,1m,257615437,257615616,28199.1,28253.1,28263.2,28135.0,80.053,180,True,2253948.9531,15.039,424157.1692
2023-04-20 20:00:59.999,1682020800000,BTCUSDT,1m,257615617,257615832,28183.2,28189.2,28313.7,28135.0,52.636,216,True,1484599.732,24.061,679962.846
2023-04-20 20:06:59.999,1682021160000,BTCUSDT,1m,257616539,257616682,28200.50,28208.80,28400.00,28200.50,74.389,144,True,2103089.06500,27.130,770244.58580
2023-04-20 20:07:59.999,1682021220000,BTCUSDT,1m,257616683,257617004,28208.00,28156.90,28400.00,28156.90,106.904,322,True,3027114.01610,66.381,1884424.86460
